Brookdale Fold
Nicholas Glebe
Parklands Top
St John Cliff
St Peter's Mead
Kirk Pines
Rosewood Ridings
St James's Place
Holme Ride
Fifth Orchard
Heathcote Estate
Canal Wood
Villa Moor
Crossley Acres
Pinewood Dene
Chalfont Laurels
Colchester Walk
Reedmace
Chandlers Close
Crane Moorings
Kent Dene
Sandpiper Crescent
Crescent Road
Sandpiper Gardens
Fox Town
Cassillis Street
Halstead Drove
Dawson Maltings
Rothesay Head
Juniper Valley
Boston Cottages
Austin Springs
Fitzroy Heights
Lansdowne Town
Holbrook Hawthorns
Hollybush Glas
Clinton Dell
Cotswold Limes
Causeway Village
Burley Drive
Markham Cloisters
Nelson Ridge
Lodge Bottom
Willow Wood Close
Cumberland Street
Chancery Row
County Houses
Wilkinson Cedars
Fleming Pleasant
Owletts End
Holmes Reach
Manor Park Crest
Belvoir Dale
Hayfield Square
South Lea
Shawsdale Road
Breydon Avenue
Franklin Acres
The Coronet
Great Warren
Burley Circus
Lovel Avenue
Bideford Wynd
Higher Park Stenak
Warleigh Road
Holland Hey
Jesmond Hollow
Archer Circle
Allhallowgate
Kent Lane
High Side
Tydfil Road
Howden Birches
Downing Wharf
Bideford Hollies
Trevor Vale
Eversley Park Road
Belvoir Spinney
Surrey Meadow
Edwards Paddocks
Addison Heights
Mostyn Leas
Saddlers South
Malham Alley
Farnham Ridge
High Yard
Harrop Avenue
Angel Circle
Alpine Circle
Bannatyne Street
Brunswick Crescent
Atlas Circle
Medway Corner
Gresham Highway
Northwood Park
Alpine Ride
Pound Woods
Elmwood Isaf
Causeway Farm
Roman Gardens
